text,label,source
omo pikin wey you go born go vex for you,negative,v3_mixed
"No lie, the service I go recommend am but I fit use am every day.",positive,v3_mixed
reposted from chioma no be amaka she no dey disappoint davido and chioma una matter don reach church ooo you love our post why not follow us for more,positive,v3_mixed
"Na true say, the app sharp no be small although I hope e improve soon.",positive,v3_mixed
abeg wetin everybody dey see for this chiomas,negative,v3_mixed
where dem dey see this kin people,negative,v3_mixed
I enjoy this network service.,positive,targeted_negation_v7
craze man no be who naked dey waka o you dey mad pedophile,negative,v3_mixed
"Yesterday, the seller I register yesterday.",neutral,v3_mixed
david was like where is he e sweet me for belle,positive,v3_mixed
i swear when you know its for rollover youd be extra careful and na the kaain thing wey dey burst slip,positive,v3_mixed
na sani ko you don find one girl wai don make you like am add barcelona,positive,v3_mixed
"Yesterday, the website surpass my expectation.",positive,v3_mixed
"Abeg, the restaurant price change small although I fit use am every day.",neutral,v3_mixed
you wey dem wan date you dey live alone,negative,v3_mixed
person give u a twerk video una dey tell am say make e delete am e no good o,negative,v3_mixed
"Na true say, the exam process still dey so dem promise fix am tomorrow.",neutral,v3_mixed
I don't feel satisfied with the purchase.,negative,targeted_negation_v7
"Abeg, the soup price change small.",neutral,v3_mixed
"Omo, the soup close early today but my family notice am too.",neutral,v3_mixed
please na somebody should give me gist na abg chaii im so lost i just dey read half half story,negative,v3_mixed
baba i no win this one too like say i no get luck to win anything sha oh carry the one wey you dey use tweet dash me because i know say you no dey use android,negative,v3_mixed
"Chai, the order deserve five stars but e better pass before.",positive,v3_mixed
e dey oh na u ask me question naaa,positive,v3_mixed
vex na understatement person wey carry am under him wings and this the thanks he gets,negative,v3_mixed
wowoo but were una dey see dis money ooooooo am here looking for iphone you are already using pro,positive,v3_mixed
this kind good thing go good to reach ibadan na shebi dey say charity begins at home bring this for us around ui lets enjoy small na ejoor,positive,v3_mixed
"Meanwhile, the transfer be under maintenance.",neutral,v3_mixed
"I think, the airtime dey sweet me.",positive,v3_mixed
sometimes i just look at my contact list and shake my head no president pikin no governor pikin no senator pikin even local chairman pikin no gree dey which kind pikin una be self,negative,v3_mixed
make una dey look back before tweeting ooo because of ordinary covikk i said oga police come carry me for house oooimamofpeace e no go better for you,negative,v3_mixed
"I think, the delivery surpass my expectation but my family notice am too.",positive,v3_mixed
e don do oh plix dear come back i miss you and im sure does too,positive,v3_mixed
"Today, the lecture surpass my expectation because I no get problem again.",positive,v3_mixed
where una dey see this harmattan make una tell person,positive,v3_mixed
husband no go fit talk cos him too dey chop from alanu things,negative,v3_mixed
"Today, the electricity waste my time.",negative,v3_mixed
walahi you fit do uber or conductor men,positive,v3_mixed
abeg weti this boy dey look,neutral,v3_mixed
game wan begin i don arrange food to go with the game nepa off light due to rain dem sha wan carry me comot for this house must rain fall now must nepa take light,negative,v3_mixed
person wey we meet that year i even give am k to settle security as baba no hold cash for hand when he won dey move thinking sey na investment till tomorrow otedola dey owe me k,negative,v3_mixed
swipe off shoulder sundress with tiered skirt in rainbow stripe ‍ price n̶ ️ color stripe size uk dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria,positive,v3_mixed
"Omo, the mobile banking I use am today because everything smooth.",neutral,v3_mixed
"Honestly, the transfer work well well because my family notice am too.",positive,v3_mixed
"Sha, the water work well well because people for office smile.",positive,v3_mixed
"Yesterday, the teacher deserve five stars.",positive,v3_mixed
"Na true say, the NIN service disappoint me and my family notice am too.",negative,v3_mixed
i don commot already,neutral,v3_mixed
tbvh hard girls like us na only our pillow de know say we de cry when we do around u be proud of yourself already,negative,v3_mixed
"Abeg, the shawarma de available now but I fit use am every day.",neutral,v3_mixed
I trust this seller.,positive,targeted_negation_v7
i don find a good tattoo guynah money for the tattoo i dey find abeg nah help a sister help me retweet guys,negative,v3_mixed
i used to work monday to friday saturday na pl sunday na sleep,neutral,v3_mixed
i don dey here for so long,neutral,v3_mixed
lmaooooo e don be,neutral,v3_mixed
omo cos them don sign now them fit dey rest me i dey hustle,positive,v3_mixed
with meat sef but surely one day they will vacate,positive,v3_mixed
e no dey tey again like before just relax and enjoy the day dear,positive,v3_mixed
"Honestly, the doctor sharp no be small.",positive,v3_mixed
abeg oh make she nor fall hand na boyfriend wen im sugar mummy compensate us na we go say yes to,positive,v3_mixed
uncle youve not met them you na clean man prolly the posh areas na ya zone we wey be business humans dey shook head put every where we dey see dem,positive,v3_mixed
Still building my opinion about this service,neutral,v3_mixed
The price reasonable for the quality.,positive,curated_contrastive_v5
this bastard see sey everywhere don soft she wan dey form loving you lasisi go kill me,negative,v3_mixed
"For real, the NIN service price change small because I fit use am every day.",neutral,v3_mixed
"Today, the result close early today.",neutral,v3_mixed
na your children go help you spend money but i fit kill am oo probably if i don reach,negative,v3_mixed
"No lie, the exam open by 8am.",neutral,v3_mixed
the only thing wey pain me for that mi and vector diss na say e call am lanre like say na him born am,negative,v3_mixed
"Honestly, the delivery sharp no be small.",positive,v3_mixed
"See ehn, the result frustrate me.",negative,v3_mixed
"Meanwhile, the tax office make me lose money and e better pass before.",negative,v3_mixed
